"name","county"
"Hall, Vera, d. 1964 (Performer)","Livingston"
"Reed, Dock (Performer)","Livingston"
"Allison, Jesse (Performer)","Livingston"
"Hampton, Florida, Aunt (Performer)","Livingston"
"Brown, Enoch (Performer)","Livingston"
"Jones, Ed (Performer)","Livingston"
"Donner, Ben (Performer)","Livingston"
"Tartt, Sims (Performer)","Livingston"
"Atmore, Bettie (Performer)","Livingston"
"Tartt, Mandy (Performer)","Livingston"
"Godfrey, Hettie (Performer)","Livingston"
"Unidentified performers (Performer)","Livingston"
"Ward, Henry, Rev. (Performer)","Livingston"
"Tollman, Mary (Performer)","Livingston"
"Lewis, Celina (Performer)","Livingston"
"Washington, Earlene (Performer)","Livingston"
"Williams, Simon (Performer)","Livingston"
"Allison, Jesse, Jr. (Performer)","Livingston"
"Allison, Albert ""Tied-tongue"" (Performer)","Livingston"
"Chapman, Robert (Performer)","Livingston"
"Horton, Jeff (Performer)","Livingston"
"Eason, Rev. (Performer)","Livingston"
"Lomax, Ruby T. (Ruby Terrill) (Performer)","Livingston"
"Clark, S. L. (Performer)","Livingston"
"McDonald family (Performer)","near Livingston"
"McDonald, Jane (Performer)","near Livingston"
"McDonald, Joe (Performer)","near Livingston"
"McDonald, Molly, Aunt (Performer)","near Livingston"
"McDonald, Jim (Performer)","near Livingston"
"Horne, Frances (Performer)","near Livingston"
"Horne, Caroline, Aunt (Performer)","near Livingston"
"Horne, Jim Henry ""Duck"" (Performer)","near Livingston"
"Horne, Aurilla (Performer)","near Livingston"
"Powell, Abraham (Performer)","near Varner"
"Washington, Willie Henry (Performer)","near Varner"
"Robertson, Robert Lee (Performer)","near Varner"
"McKain, Henry (Performer)","near Varner"
"Green, Joe (Performer)","near Varner"
"Jones, George (Performer)","near Varner"
"Story, C. A. (Performer)","near Varner"
"Denny, John (Performer)","near Varner"
"Battle, Joe (Performer)","near Varner"
"Johnson, Willie ""Little Life"" (Performer)","near Varner"
"Williams, Willie ""Red Eye"" (Performer)","near Varner"
"Lowry, Irvin ""Gar Mouth"" (Performer)","near Varner"
"Lamb, Virgil (Performer)","near Varner"
"Unidentified performers (Performer)","near Varner"
"Hawkins, Nathaniel, Rev. (Performer)","near Varner"
"Bell, Arthur (Performer)","near Varner"
"Green, Clarence ""Bill Ted"" (Performer)","near Varner"
"Jones, Walter J. R. ""Snow"" (Performer)","near Varner"
"Anderson, Frances (Performer)","near Varner"
"Hains, R. C. ""Red"" (Performer)","near Varner"
"Thomas, Charles ""Texas"" (Performer)","near Varner"
"Smith, James ""Studdy Long"" (Performer)","near Varner"
"Martin, Leroy (Performer)","near Varner"
"Williams, Angie May (Performer)","near Varner"
"Marshall, Lilly May (Performer)","near Varner"
"Rayford, Willie (Performer)","near Varner"
"Outlaw, Willie (Performer)","near Varner"
"Haynes, Bernice (Performer)","near Varner"
"Stegall, Lonnie ""Stick Horse"" (Performer)","near Varner"
"Howard, Father (Performer)","near Varner"
"Shelton, Eugene (Performer)","near Varner"
"Brown, Frank (Performer)","near Varner"
"Williams, Chester (Performer)","near Varner"
"Jubilee Quartet (Arkansas) (Performer)","near Varner"
"Hudson, Roosevelt ""Giant"" (Performer)","near Varner"
"Unidentified performers (Performer)","near Arkansas City"
"Wesley, Henry (Performer)","near Arkansas City"
"Clark, Charles (Performer)","near Arkansas City"
"Wilson, Robert ""Rail Head"" (Performer)","near Arkansas City"
"Grigsby, Lewis ""Wild Man"" (Performer)","near Arkansas City"
"Cheatem (Performer)","near Arkansas City"
"Valentine, Alf ""Dad"" (Performer)","near Arkansas City"
"Monroe, Thomas ""Rooster"" (Performer)","near Arkansas City"
"Hamilton, Alfred (Performer)","near Arkansas City"
"Buggs, Ernest (Performer)","near Arkansas City"
"Smith, Hosea ""Blue"" (Performer)","near Arkansas City"
"Floyd, Minnie (Performer)","Murrells Inlet"
"Brown, Viola (Performer)","Murrells Inlet"
"Holmes, Annie (Performer)","Murrells Inlet"
"Sindab, Anna Bella Corin (Performer)","Murrells Inlet"
"Brown, Otto Washington (Performer)","Murrells Inlet"
"Brown, Constance (Performer)","Murrells Inlet"
"Walker, Brady (Performer)","Clemson"
"Grant, William (Performer)","Clemson"
"Lee, Mary (Performer)","Clemson"
"Trimmer, Thomas (Performer)","Clemson"
"Butler, Phil (Performer)","Clemson"
"Owens, Cecil (Performer)","Clemson"
"Owens, Martha (Performer)","Clemson"
"Owens, Robert (Performer)","Clemson"
"Owens Quartet (Performer)","Clemson"
"Owens, Edward (Performer)","Clemson"
"Unidentified performers (Performer)","near Anderson"
"Smith, Carol (Performer)","near Anderson"
"Unidentified singers (Performer)","near Clemson"
"Coson, Anna F. (Performer)","near Clemson"
"Lee, Mary (Performer)","near Clemson"
"Holmes, Judie (Performer)","near Clemson"
"Coson, Frances (Performer)","near Clemson"
"Pearson, Ed (Performer)","near Clemson"
"McDonald, Eula C. (Performer)","near Clemson"
"Williams, Harvey, Deacon (Performer)","near Clemson"
"Pearson, Polly (Performer)","near Clemson"
"English, Mandie (Performer)","near Clemson"
"Unidentified performers (Performer)","near Sand Springs"
"Owens, ""Slick"" (Performer)","near Sand Springs"
"Chambers, Clarence (Performer)","Anderson Co Camp"
"Gipson, John R., Mrs. (Performer)","Merryville"
"Gipson, John R. ""Blind Gipson"" (Performer)","Merryville"
"Weaver, Herman R. (Performer)","Merryville"
"Fisher, Wilford Jerome (Performer)","Merryville"
"Farr, Ruthie May (Performer)","Merryville"
"Unidentified girls (Performer)","Merryville"
"Gipson family (Performer)","Merryville"
"Lee, Will ""John Baptist"" (Performer)","Merryville"
"Whitman, Sarah C. (Performer)","Merryville"
"Fisher, Geraldine (Performer)","Merryville"
"Bennet, Gentry Young (Performer)","Merryville"
"Franks, Dora (Performer)","Merryville"
"Unidentified singers (Performer)","Knight Post Office"
"Spearman, Rufus (Performer)","Knight Post Office"
"Bright, Lula (Performer)","Knight Post Office"
"Hickman, Ethel (Performer)","Knight Post Office"
"Hickman, Ruth (Performer)","Knight Post Office"
"Bright, Carmen (Performer)","Knight Post Office"
"Johnson, Sylvester ""Deacon"" (Performer)","Knight Post Office"
"Weaver, Herman R. (Performer)","Knight Post Office"
"Hickman, Charlie (Performer)","Knight Post Office"
"Hickman, Sam (Performer)","Knight Post Office"
"Flint, Buena (Performer)","Raiford"
"Reed, Clifford (Performer)","Raiford"
"Griffin, Julia (Performer)","Raiford"
"Medlock, Johnny Mae (Performer)","Raiford"
"Thomas, Lonnie (Performer)","Raiford"
"Unidentified performers (Performer)","Raiford"
"Slater, Gussie (Performer)","Raiford"
"Reid, Allen (Performer)","Raiford"
"Hutchins, Lillian (Performer)","Raiford"
"Johnson, Dawson (Performer)","Raiford"
"Johnson, Burruss (Performer)","Raiford"
"Brown, Joe (Performer)","Raiford"
"Howard, Willie (Performer)","Raiford"
"Perkins, Paul (Performer)","Raiford"
"Richardson, James (Performer)","Raiford"
"Carver, Glenn (Performer)","Raiford"
"Perry, Fred (Performer)","Raiford"
"Brown, John (Performer)","Raiford"
"Keel, Colon (Performer)","Raiford"
"Hardwick, Lillie (Performer)","Raiford"
"Monday, Ella (Performer)","Raiford"
"Hunter, Mary (Performer)","Raiford"
"McDonald, Geneva (Performer)","Raiford"
"Unidentified performer (Performer)","Raiford"
"Jackson, Corine (Performer)","Raiford"
"Futch, Hasel (Performer)","Raiford"
"Brown, Lois (Performer)","Raiford"
"Sanford, Annabelle (Performer)","Raiford"
"Hines, Ruth (Performer)","Raiford"
"Hines, Hule ""Queen"" (Performer)","Raiford"
"Griffin, G. A., Mrs. (Performer)","Newberry"
"Hi-Neighbor Men's Quartet (Anderson, S.C.) (Performer)","Toccoa Falls"
"Sentell, Jessie (Performer)","Toccoa Falls"
"Timmins, Maggie (Performer)","Toccoa Falls"
"Friddle, Jane A. (Performer)","Toccoa Falls"
"Matthews, Nettie (Performer)","Toccoa Falls"
"Carolina Ladies Quartet (Greenville, S.C.) (Performer)","Toccoa Falls"
